Avg. Area Income,Avg. Area House Age,Avg. Area Number of Rooms,Avg. Area Number of Bedrooms,Area Population,Price
63717.93,6.13,10.05,4.3,46873.04,1626891.48
80650.36,6.47,7.3,4.15,51405.27,1944396.09
61715.34,7.61,6.12,3.13,36488.61,1247466.96
67940.84,6.33,7.4,4.08,28065.73,1243867.25
57158.02,6.62,6.47,4.61,51393.25,1448466.58
73432.64,6.69,6.02,3.65,25467.49,1139538.3
83985.15,4.84,9.11,4.53,53934.5,2034902.38
67758.54,5.03,8.07,3.0,49503.54,1471023.04
66484.59,4.91,7.34,4.1,50945.28,1294729.61
56703.41,4.66,6.59,5.39,42965.5,891334.92
66139.2,6.77,6.68,5.5,15196.54,1015915.17
51607.0,6.27,8.55,5.61,25849.73,871320.46
58853.55,6.06,7.3,4.33,39208.87,1095665.21
71000.09,3.41,3.88,4.02,29457.2,312456.61
82641.04,8.01,9.44,3.43,33033.85,2125340.26
98523.57,5.09,7.17,1.76,42245.12,2010141.04
62331.18,8.01,7.34,2.33,34476.01,1537015.03
83880.43,4.55,8.09,3.77,24064.22,1167483.39
71180.91,5.18,7.46,3.85,44953.16,1354903.45
66971.0,3.8,7.74,5.72,41273.41,1072766.91
73193.59,6.34,6.56,5.6,33691.72,1414261.55
69242.91,4.89,5.75,3.14,43222.32,991628.61
69759.6,4.92,7.27,4.99,37106.34,1046388.9
64230.99,4.62,8.44,3.39,49376.76,1321403.8
53681.95,6.75,6.34,4.82,37663.74,1075491.84
52131.04,6.68,6.25,4.97,49302.98,1165442.02
75545.28,7.77,8.22,5.51,17567.0,1494699.45
65633.93,5.3,6.53,3.37,40720.75,1279808.81
62229.88,6.2,6.58,5.23,32214.22,1049224.44
68673.65,4.7,6.61,1.68,27636.92,898311.53
77055.39,5.65,6.92,5.57,47661.12,1499975.07
70505.32,5.47,5.4,3.95,44987.19,1275550.15
61590.77,6.44,6.45,3.98,16248.72,880755.84
81652.83,6.99,7.22,1.47,43264.29,1875313.96
85413.96,6.96,7.22,3.5,42059.92,1791217.23
73853.98,5.15,8.16,5.65,28986.52,1391325.73
78960.31,6.97,8.85,3.46,27872.61,1827899.57
81819.81,5.94,8.52,4.86,20376.54,1595197.11
80627.6,5.66,7.91,4.02,32813.0,1539512.01
75128.07,5.28,6.84,5.29,34401.44,1244025.9
74960.18,5.43,6.36,4.22,44073.19,1339700.3
74121.54,7.7,7.01,2.83,38836.6,1937499.01
56887.58,6.28,7.58,4.05,25643.41,924307.91
76051.31,6.15,7.82,5.95,38533.83,1480195.7
54132.73,5.72,7.62,4.59,33641.6,917058.97
60114.16,8.4,6.87,3.84,26884.85,1273081.21
82476.4,7.27,7.78,6.75,20387.14,1768336.83
77538.07,5.27,8.26,5.41,42364.17,1460712.27
84435.69,5.71,7.88,4.98,40593.49,1686250.02
65687.49,5.77,6.96,4.37,41688.93,1270701.66
56302.33,6.12,6.15,4.88,28935.17,943776.6
66020.42,5.29,6.12,4.92,37860.97,1092513.87
69670.45,6.41,6.3,1.3,22512.51,1226051.02
69424.86,7.42,7.25,4.47,26371.17,1440157.8
80665.77,4.68,7.52,3.78,36497.79,1362443.55
64732.58,4.86,5.56,3.37,38766.85,951010.91
72334.98,5.5,6.48,3.74,19996.98,824741.31
58046.21,5.55,7.24,2.07,25666.87,664866.73
73382.48,7.96,6.08,1.76,32536.48,1621417.33
68616.13,6.97,7.43,5.51,45676.3,1653969.41
60591.49,6.91,6.68,4.55,28092.96,1186440.32
66069.53,5.72,6.26,1.01,37558.21,1010110.18
66620.05,5.7,7.04,3.27,38598.52,1349254.84
65703.69,4.54,7.39,5.06,33684.81,1050469.83
87461.95,6.75,6.13,3.64,38823.1,1732387.66
67533.76,6.47,6.74,5.51,22814.7,1116605.45
65983.56,7.25,7.46,5.27,29654.31,1417184.62
46228.37,5.77,6.22,2.31,50399.02,785444.86
59052.54,5.84,5.32,3.8,51097.79,1023535.76
65779.16,6.15,5.44,3.43,44528.99,1204548.96
61273.18,6.86,6.57,2.27,47084.39,1323017.15
83309.24,4.52,5.66,2.19,18040.83,756245.85
66825.09,6.71,6.64,2.99,26747.19,1190416.98
82315.24,5.96,8.67,3.19,33075.32,1799431.62
69240.65,4.93,5.6,4.33,60138.25,1412198.43
68979.77,3.92,6.7,5.26,33055.64,912123.75
67636.61,5.84,9.14,4.61,43556.18,1683685.8
68623.46,7.41,7.4,4.9,39918.34,1712011.97
86901.92,7.64,6.62,3.65,39697.53,1948980.27
43860.59,6.33,6.83,4.72,35929.46,560910.79
47250.53,7.92,7.42,3.8,24252.67,1114956.1
62793.89,5.94,8.7,3.44,9353.95,846990.29
68737.84,6.92,6.45,6.31,48885.29,1446482.36
75938.13,5.53,6.22,1.11,30044.26,1048671.06
73625.16,5.47,5.6,1.68,17631.9,1083646.22
64487.71,5.31,7.09,4.45,40509.76,1193618.78
79443.97,3.94,5.57,3.65,40319.48,951618.74
79562.82,7.25,6.52,2.21,43784.33,1698637.15
70544.69,5.34,6.07,2.68,47236.48,1258696.43
78843.0,5.19,8.07,2.84,27042.06,1403243.64
71488.85,4.81,6.48,5.08,27478.81,974586.57
62598.71,5.78,7.39,5.47,32999.87,1017517.85
76020.33,7.73,5.37,6.0,44317.78,1676938.08
69761.91,8.05,7.12,2.03,15294.31,1265949.88
68597.28,4.34,5.77,2.3,37435.45,969886.17
84281.74,5.63,6.56,2.21,45414.31,1637023.41
42461.6,4.96,9.22,5.57,45004.75,873002.59
53473.32,6.96,7.93,4.49,43195.47,1395205.05
55931.2,6.26,6.86,4.08,46713.28,1225292.17
64711.37,5.35,10.22,4.26,8897.21,1014021.79
65869.39,6.05,6.07,3.91,52176.68,1424577.04
52517.92,5.51,8.17,2.6,39442.27,1097636.32
58083.19,7.58,5.44,4.61,49409.41,1438254.66
59408.15,6.52,6.74,3.75,24504.75,1022387.12
94774.23,6.64,5.63,2.5,18756.27,1483783.34
87785.97,3.34,7.25,4.69,53892.8,1381432.56
64194.57,5.91,7.05,3.46,26967.27,1046944.08
64707.93,8.04,6.68,4.26,33077.82,1472653.02
56334.78,7.29,8.09,3.83,41397.99,1438506.22
48246.15,4.15,6.42,5.08,43833.9,278899.57
67337.29,5.67,7.32,4.25,46866.28,1461516.09
57947.89,4.79,7.82,2.89,38380.11,884815.02
67678.66,7.67,5.49,4.38,25698.98,1253780.14
51528.01,6.22,6.23,4.42,43176.33,1126182.88
60461.88,5.22,7.04,4.61,43334.37,1060332.8
70167.07,6.01,7.63,5.25,18148.78,1158130.49
72486.06,3.4,8.43,3.22,50243.45,1318777.41
73032.42,4.91,6.77,4.8,11478.77,839981.55
54509.23,6.02,6.67,1.86,46429.58,1093090.09
77692.24,6.82,6.11,3.83,29869.46,1345564.53
60054.34,4.06,7.32,3.64,43165.18,824859.23
75328.0,5.6,6.69,5.76,41226.68,1554650.98
68469.61,6.98,6.71,3.79,35794.56,1433164.86
53913.46,4.54,6.9,4.73,40640.03,858012.12
65212.96,6.21,7.55,1.81,35305.0,1321835.26
72477.05,6.05,6.42,3.55,43248.96,1496834.62
75115.99,7.68,6.21,2.94,57851.82,1828793.56
67080.35,5.75,7.43,7.02,22851.2,1064778.32
84908.7,5.81,3.93,3.16,4520.65,785508.2
79321.05,6.83,6.38,4.07,32037.43,1629739.88
65847.58,4.67,5.83,4.14,31359.04,1046316.94
76577.8,5.76,8.21,2.02,32415.64,1530857.43
89193.37,5.53,6.54,3.33,26968.09,1374971.61
89477.84,5.84,6.42,4.48,44821.91,1638551.87
55494.98,6.82,6.94,4.09,22453.31,819420.38
58708.01,6.53,6.39,1.15,40636.94,1055479.91
84409.26,5.24,6.58,3.28,42499.77,1241223.6
57303.84,6.12,7.09,5.24,39303.92,1042636.17
54487.36,7.46,6.56,4.7,40997.9,1301563.34
63401.14,5.16,6.56,5.48,45584.48,1122875.35
73061.78,6.12,5.97,2.77,36694.64,1242240.97
67491.66,5.79,5.82,5.56,32724.02,860138.52
61649.29,5.92,7.05,3.93,40990.23,1294107.88
61397.24,4.37,7.3,5.94,42121.63,1032842.74
60990.91,7.38,5.55,3.98,44993.08,1290440.47
59209.19,5.21,7.76,1.46,19167.5,549161.83
92900.64,7.0,7.76,5.02,34341.45,1977077.07
71753.87,5.36,7.97,3.43,25589.22,1236336.93
78034.08,5.36,7.29,3.52,41730.58,1486869.18
63370.41,7.18,7.63,2.19,43375.59,1555412.29
66601.07,6.96,9.2,5.98,33439.45,1687791.66
60977.94,6.19,6.69,3.34,28925.02,1004732.99
40321.09,6.73,5.93,5.92,42087.86,814630.04
53896.18,5.69,5.44,3.45,34840.57,610237.2
49285.43,5.97,8.76,2.84,50320.68,1157806.6
44604.8,5.32,8.78,5.6,53759.56,1181920.84
55842.86,6.88,6.06,3.89,46095.06,1245586.59
82704.38,5.29,6.26,3.9,38472.12,1455869.25
68109.4,7.45,6.66,2.4,54281.83,1743311.34
82337.83,5.67,8.23,3.42,38552.15,1665468.79
72963.25,6.0,5.69,4.51,31407.0,1156671.57
76923.51,6.73,5.0,2.38,29460.25,1259896.49
58981.24,6.0,9.18,3.32,29180.75,1268321.82
74167.27,5.69,7.31,3.46,36099.78,1636306.27
76349.64,5.95,7.45,4.06,40759.14,1463748.19
62437.09,6.86,6.78,5.8,22117.57,1369030.67
74546.58,5.32,7.46,3.61,31707.41,1151323.0
74617.43,5.86,5.46,3.13,38275.55,1258880.32
62725.87,5.99,6.14,7.36,42550.99,1025843.98
56616.53,6.84,7.1,3.45,35905.72,1189096.32
55962.56,5.88,4.7,3.75,38589.74,834805.08
69504.98,7.77,6.68,3.54,23870.67,1359118.21
72068.27,5.83,6.62,3.64,27113.52,1231212.32
60136.26,5.74,6.68,4.08,35558.95,958858.64
68866.35,5.81,6.43,5.11,41230.22,1052947.75
74663.78,4.68,5.98,4.48,38458.69,1160722.83
75171.68,4.95,5.15,5.3,27738.42,894807.17
85122.94,5.45,7.14,5.26,33815.12,1474508.68
82193.06,7.1,6.69,4.24,51168.0,1895371.56
57911.24,5.95,5.6,4.44,41564.76,987300.76
86526.66,5.5,7.05,5.34,34549.86,1479905.71
62923.85,7.19,6.69,2.61,25981.57,1188136.62
79719.25,7.52,6.52,7.05,29082.79,1721059.85
69307.6,7.22,4.81,3.35,36228.41,1426717.38
64190.31,5.14,7.68,3.55,38901.77,1299845.04
49316.57,5.49,5.74,2.49,41776.22,718857.52
66754.47,7.78,7.05,2.53,40013.76,1611285.86
51963.09,6.22,6.17,5.18,32488.4,757007.16
78892.48,5.72,6.6,6.77,31090.28,1281276.22
84748.98,6.69,8.15,3.28,56479.36,2268114.7
60089.52,6.98,7.53,4.41,30640.06,1200471.74
71801.4,5.41,8.13,4.25,23342.84,1225741.32
60851.78,6.2,7.32,5.21,19898.73,837387.06
61884.61,6.9,7.39,6.71,32657.6,1413467.55
76837.56,4.83,5.19,5.85,45492.34,1151516.36
68172.26,5.99,6.67,3.69,30446.72,1242886.72
87124.17,4.88,6.76,4.63,50827.33,1611793.13
63443.37,5.01,8.23,4.75,36090.73,1073407.56
79233.93,5.42,6.48,3.96,47175.36,1642983.85
69621.23,6.45,7.26,2.63,28642.62,1219804.64
77064.4,5.66,7.22,3.0,28796.5,1154329.39
63817.19,5.34,8.16,5.39,37066.63,1115840.5
68054.8,6.03,6.85,5.52,40952.36,1410513.13
67352.01,4.84,7.83,3.72,34386.85,1205401.21
59672.3,6.4,5.27,4.3,39065.72,904303.1
75639.46,7.1,5.36,5.45,42003.72,1433477.28
75513.35,5.9,4.68,1.88,22064.48,970214.92
74909.11,5.78,7.78,3.43,32779.2,1546406.05
84963.98,6.35,7.67,6.46,31015.08,1684570.74
84030.12,3.97,7.9,4.35,31497.04,1366361.5
64586.84,6.51,6.31,2.59,40201.26,1330690.35
72558.99,9.05,6.42,4.12,31152.96,1926836.19
61936.66,5.86,6.87,5.24,16262.6,675015.98
68831.92,5.86,8.45,1.0,33815.55,1321561.84
62190.87,6.72,8.7,4.2,25598.77,1248995.3
85849.71,7.61,7.79,3.52,41089.09,2160329.53
72459.29,6.95,7.32,1.96,44159.54,1641393.0
66259.25,3.85,8.34,4.08,14577.82,735644.73
81304.59,6.54,6.73,3.81,28478.75,1496088.71
45448.58,8.53,6.6,3.95,39670.23,1193088.34
47116.69,6.6,6.86,3.55,22179.91,688423.81
77065.05,4.84,6.0,2.72,43930.91,1359889.47
69227.47,6.26,6.81,2.19,46577.47,1362479.28
71252.26,4.71,5.86,3.13,34554.99,938020.55
54446.27,7.2,8.03,5.04,28481.93,1054544.0
68335.38,5.03,7.54,4.27,13230.62,848934.38
89936.4,6.05,8.43,3.89,44242.2,2018003.41
77367.32,5.13,5.34,2.7,56038.18,1522325.34
70391.73,5.44,8.91,3.52,53984.84,1721415.47
63903.56,7.45,5.4,4.89,34227.89,1143054.35
64377.64,6.08,5.78,4.6,25318.19,858428.83
45890.01,5.43,6.36,3.39,44476.42,909712.07
71328.93,4.85,8.31,1.0,34903.83,1118300.28
77594.16,4.13,7.22,3.15,40908.46,1192611.92
51790.05,4.74,6.74,3.39,39167.81,721200.73
61533.62,6.09,6.19,2.86,37086.06,984209.06
56246.74,6.95,5.6,3.47,46371.0,1194999.82
58294.29,5.43,8.13,4.98,46739.76,1252667.47
69153.01,7.53,7.8,3.93,30975.32,1579950.18
46367.44,5.27,8.36,5.2,27001.11,715748.55
75129.89,5.74,7.39,2.12,11359.28,1026713.28
76617.59,4.91,4.32,3.6,32727.35,757323.44
65906.75,6.96,5.73,1.6,25311.75,1064332.98
42143.61,8.06,7.46,3.46,40323.53,982635.89
57963.17,4.24,6.62,2.69,32829.52,586650.25
81723.27,5.64,6.43,5.56,33905.77,1443664.99
38975.14,7.23,5.88,4.48,44221.76,943224.92
64879.1,4.55,7.95,5.23,40105.75,1367856.12
56006.55,6.54,7.45,3.45,35004.85,1083737.81
77158.11,7.19,7.5,2.73,52900.77,1876868.06
61387.64,6.06,6.35,2.69,43489.13,1207942.47
72888.34,6.52,7.17,4.31,32035.58,1596366.18
74609.68,7.72,5.64,6.21,32478.31,1621129.83
88153.49,7.91,6.86,4.49,43987.67,2005471.99
66420.04,5.92,4.44,3.52,38176.24,915004.06
72590.88,5.45,5.41,3.75,25035.49,989489.5
52755.28,5.07,6.66,3.94,45043.02,965134.1
81270.43,6.95,9.39,6.47,48641.03,2246807.92
60477.5,4.62,5.17,5.5,47888.28,785927.55
62606.48,5.73,5.73,4.3,51474.78,1236760.05
68345.88,6.08,7.21,4.11,56699.79,1711379.52
51925.78,5.48,8.78,4.35,53332.84,1214592.77
71021.23,6.26,7.19,4.59,39544.07,1576363.1
78894.26,8.52,7.7,3.47,34094.35,2058728.33
71705.09,5.86,6.65,2.94,18004.2,920639.32
51648.53,5.55,6.47,5.25,36270.86,867264.32
67263.44,6.99,7.07,4.01,41315.43,1573963.43
76491.54,6.22,6.33,5.15,36595.26,1490083.17
48567.4,7.4,7.72,6.0,17422.41,1038063.86
57128.14,6.14,5.37,4.62,33318.28,807511.57
77925.2,5.73,7.89,4.42,42567.92,1669459.11
71461.68,4.21,7.03,7.92,25980.79,635990.61
72973.79,4.38,6.77,4.23,37807.49,1209841.16
88401.5,4.16,5.33,2.64,40446.9,1356987.62
73576.84,6.36,6.0,3.63,47258.83,1619284.77
75594.77,4.63,8.2,5.89,53160.61,1514405.21
97474.13,7.22,6.78,2.39,32413.08,2102199.41
66304.27,6.01,7.27,3.05,37986.79,1385167.27
60079.17,5.74,6.1,5.34,38297.56,907563.47
73142.45,5.14,6.96,3.65,42608.05,1427827.84
73261.77,6.6,5.6,3.84,41496.73,1427246.63
62969.27,5.18,7.09,5.3,50306.18,1077131.86
57579.71,5.0,7.36,3.1,13024.88,621320.25
93201.32,7.16,7.31,2.17,40311.86,2011228.68
72066.5,6.33,6.08,2.27,41000.55,1190460.68
60778.3,5.75,6.64,4.7,33828.35,1022528.06
78344.99,6.62,7.53,4.3,13692.7,1300596.15
67419.73,5.99,6.78,3.13,35557.61,1347098.5
65887.79,6.36,6.7,2.55,29110.68,1143912.75
74575.7,5.17,8.91,3.65,52816.71,1828583.37
54814.12,8.03,6.03,5.35,39887.77,1301530.88
72341.3,5.41,8.08,2.95,28267.81,1367006.39
88971.27,7.52,5.82,3.16,15790.5,1416024.5
73551.52,5.79,7.65,2.52,42024.88,1529796.08
64573.33,6.78,7.71,3.53,43072.28,1489570.75
63178.27,6.71,6.47,4.4,34021.41,1241637.61
64209.6,7.12,5.76,6.58,42154.48,1332975.22
65876.27,5.15,5.0,4.25,32706.42,716912.67
64556.34,7.04,6.37,3.91,46755.11,1406976.43
78349.05,7.81,7.52,5.04,46015.4,2159520.99
50110.46,5.72,5.9,4.84,19896.67,281173.17
77770.2,6.01,7.09,3.27,22315.72,1341449.23
64536.3,5.46,5.5,6.81,56323.47,1351408.22
72600.51,5.64,6.75,3.95,45415.05,1467411.34
56571.56,7.67,5.83,4.27,23633.87,1153328.94
82743.55,4.99,6.91,4.66,20576.98,1258097.08
81858.98,5.05,6.48,4.41,38225.14,1409210.61
78810.32,7.57,5.79,5.86,24825.52,1388106.29
52438.74,6.6,6.32,3.25,33019.68,931450.18
77419.77,8.08,6.05,4.94,35693.75,1750253.77
72897.95,5.53,5.66,4.18,35265.4,1112610.97
51474.02,6.11,8.08,5.19,47343.89,1152426.73
68324.04,5.33,6.63,3.72,54372.96,1266154.15
72468.21,6.12,4.77,3.55,31409.74,1048315.86
74509.65,4.22,6.36,4.88,24941.21,713890.34
70472.25,6.66,7.91,4.42,40022.3,1544808.9
71686.94,6.3,6.22,2.97,52355.44,1293530.18
84288.75,5.92,8.5,5.64,32161.09,1807153.73
81650.07,5.59,6.12,4.88,44602.81,1625608.92
38025.93,5.09,7.5,3.89,27854.43,408819.09
65199.74,6.7,8.04,3.4,36374.12,1625723.17
66828.15,4.82,7.44,4.43,24630.72,1055835.31
49909.13,6.49,5.6,4.79,36270.51,831563.93
69586.8,8.03,6.04,2.02,35007.18,1476129.2
81892.26,7.45,8.17,4.44,42198.62,1997133.44
57002.36,4.49,6.18,4.78,53810.26,1001655.63
72168.36,5.45,7.98,1.09,32303.21,1297800.21
58822.15,6.4,6.56,4.22,16315.69,826958.12
61421.76,5.91,7.13,4.83,34157.12,1153604.3
84329.06,4.59,5.59,4.69,39133.73,1232182.1
62800.42,6.36,6.38,4.97,38166.86,1273450.53
73509.26,5.97,6.11,3.58,34600.58,1216483.91
48639.56,7.88,7.22,2.7,50928.57,1400859.16
88431.58,5.73,7.08,1.77,37514.93,1582038.83
75006.07,7.14,7.46,5.32,35122.9,1612890.2
66637.92,4.73,6.49,4.84,28444.27,1060333.18
74717.17,4.96,6.05,5.42,18826.9,768061.99
53557.14,6.69,7.17,3.09,39430.63,1175500.48
81186.41,7.05,5.95,4.97,38598.77,1581770.48
65129.97,5.03,8.08,2.13,25649.14,785041.4
66408.03,6.0,6.87,2.91,35722.6,1257227.28
63342.93,4.61,6.66,4.13,34735.27,813574.65
62394.42,5.8,7.46,4.8,29964.83,1101865.34
75986.8,6.81,6.91,6.05,28289.39,1537772.94
71310.46,5.55,5.32,3.68,40183.44,1135209.65
75529.33,5.73,5.92,2.92,33921.82,1241887.32
68489.27,4.86,8.06,2.85,30297.39,1033772.59
74052.68,5.34,7.07,3.13,27610.91,1228904.62
64118.91,7.72,5.29,6.71,34872.9,1218179.98
92347.48,6.05,7.35,4.91,45338.5,1775777.91
51872.0,4.99,6.43,5.35,38213.9,794048.19
82022.07,5.67,6.11,3.69,33809.56,1474531.02
83162.16,4.4,5.83,3.98,39224.77,1375330.46
59500.69,4.98,8.0,4.84,49704.52,1456008.47
92342.6,7.33,5.0,3.36,41030.36,1906951.5
79192.94,5.84,6.14,3.62,38745.49,1459196.92
78933.4,7.85,7.11,3.15,42500.41,2015385.28
68881.66,5.89,8.58,3.43,34594.71,1339175.02
66267.8,5.94,7.55,4.04,37989.87,1141012.42
66351.12,6.61,6.14,2.97,31310.12,1095493.66
72745.28,3.33,8.53,4.33,20773.76,1006363.96
83516.84,6.18,5.62,4.33,39565.65,1441520.77
70515.45,5.93,7.26,3.76,39603.8,1432261.01
58868.83,7.45,7.48,2.96,33307.45,1371566.54
77369.74,6.94,6.1,4.11,46443.52,1685644.61
78400.62,4.86,7.69,3.36,29001.09,1142455.37
75560.36,7.21,6.47,4.04,18582.01,1323210.25
76528.53,5.72,7.69,5.33,29244.13,1337611.5
65695.45,5.08,5.13,2.44,20869.18,766024.97
58681.83,6.18,7.33,6.65,39518.01,1299431.94
59329.79,5.78,6.57,3.89,28698.63,832705.98
51152.23,7.5,8.15,4.49,45936.04,1610742.6
71108.4,6.32,6.95,3.05,45728.7,1549297.37
67693.6,6.18,8.25,5.38,26982.63,1132667.96
63893.61,6.87,7.5,3.83,28142.54,1245489.51
37082.01,7.06,6.86,3.5,41467.31,995059.4
55289.09,6.76,7.79,3.27,45887.91,1270190.85
80528.92,7.39,7.79,3.65,16187.74,1541533.8
61499.42,6.58,7.47,4.49,38958.58,1180134.13
72426.19,6.15,4.67,4.19,14351.91,643942.7
53761.07,7.21,6.0,3.93,30718.98,862815.89
83916.72,5.89,8.39,3.1,47017.54,1793190.39
67047.95,6.01,5.72,3.03,66034.97,1475160.16
71674.25,7.68,7.88,3.41,33792.67,1858758.25
93371.16,7.59,7.7,4.55,23785.37,1960660.45
84745.22,5.97,6.26,4.79,31066.59,1527518.36
65315.62,5.53,4.97,4.96,36818.74,999497.52
62260.46,7.43,6.42,3.98,29510.86,1087226.16
65113.34,6.77,9.09,4.45,26984.13,1357582.69
74017.5,6.29,6.12,3.77,31926.51,1341037.79
67461.52,5.66,6.19,1.84,40089.1,1084313.58
64370.49,6.31,5.98,3.71,34481.62,1151762.95
84220.22,5.96,8.22,3.52,27413.09,1783602.95
67365.75,5.32,6.74,2.7,29512.63,853878.24
93092.02,6.11,6.36,3.28,32055.45,1638560.33
69550.13,6.24,8.42,4.15,26243.69,1335532.81
87610.92,5.61,7.58,2.59,29144.59,1524417.3
72391.31,6.87,6.06,3.11,42551.09,1417126.83
78846.23,7.26,5.75,5.88,33877.06,1467607.94
60860.1,6.94,8.16,2.01,18759.64,1130817.51
59483.63,5.71,7.01,3.75,46335.62,1199791.64
73482.55,6.73,5.43,2.55,40298.94,1459462.89
79119.0,6.06,5.19,3.06,22435.41,1073645.82
69012.05,4.76,5.86,3.74,32536.61,994821.12
54872.62,6.65,5.74,2.77,28301.42,747671.14
54085.37,6.12,4.92,4.69,42881.29,711317.85
53372.58,8.55,5.88,5.64,32474.35,1143857.21
49743.68,7.42,6.06,5.02,35440.72,1023829.03
69749.89,6.68,6.52,5.24,34285.25,1411856.58
80573.72,6.23,8.7,2.28,21472.66,1693005.81
68440.01,6.14,6.72,3.68,50111.56,1498580.08
44491.5,4.99,6.82,4.55,42736.63,742746.29
66549.88,4.26,7.5,5.05,28745.22,1031164.95
66847.89,5.12,6.75,6.14,38067.23,1015857.33
90922.15,5.93,7.39,5.29,45831.12,1918742.06
53052.82,3.9,7.27,5.08,36716.23,914742.44
64419.16,5.44,7.11,7.22,51613.79,1433457.91
86763.98,5.73,9.78,4.1,65122.67,2450787.78
73378.87,5.77,7.91,3.62,34911.24,1517519.06
74586.79,5.32,5.9,4.2,30381.39,935113.6
69804.24,5.64,7.36,2.85,26343.11,1067330.67
72099.54,7.69,6.19,4.06,14193.27,1090639.58
76870.76,6.64,7.44,1.86,48550.84,1833187.84
59955.49,5.43,5.6,3.33,32654.57,729896.76
77941.35,5.91,5.87,3.84,44850.91,1462509.42
53949.53,5.95,7.34,5.15,46846.79,1125033.99
72082.75,5.22,8.0,5.35,25434.37,1018855.02
70488.02,5.22,7.5,2.79,26924.67,1190791.8
62014.55,6.98,7.85,6.53,53479.02,1489121.03
68341.22,5.56,7.37,4.16,35467.6,1157491.11
61947.97,4.9,7.16,4.28,29609.65,738108.89
57160.81,5.94,6.48,1.99,25789.66,702392.24
64814.17,6.1,7.81,3.22,34759.05,1302909.65
56816.69,4.03,8.03,5.27,51128.85,1174895.23
72023.38,5.94,6.93,4.19,42965.97,1275065.22
56325.39,6.84,6.87,4.11,37966.99,1102672.45
76171.25,6.43,8.6,4.26,51929.07,1765602.52
55990.8,8.19,6.97,2.2,50016.07,1502030.46
62547.43,7.22,7.07,3.86,39479.16,1407651.28
61925.98,7.41,7.48,5.71,63715.99,1919295.13
82706.41,8.75,6.89,5.32,33707.33,1768044.93
72103.23,6.73,6.16,3.83,47060.93,1585677.74
66326.34,6.14,7.37,5.9,32262.51,1140449.74
73898.35,6.94,6.95,2.43,45123.77,1545976.15
46124.54,5.43,8.85,2.78,33697.76,887298.79
68123.28,6.09,7.79,6.27,40742.08,1510462.04
89872.51,5.34,6.39,4.69,59885.1,1899153.79
69993.55,6.37,7.73,3.62,45610.13,1485835.45
69306.82,5.33,7.3,3.91,40895.65,1276983.51
74424.95,5.3,8.31,2.99,28474.07,1251211.96
78128.36,6.39,6.46,4.32,38031.17,1565045.58
47294.0,5.84,7.18,4.22,26158.58,766913.94
50652.76,4.07,6.89,4.0,44966.24,792015.98
70824.28,4.54,7.05,2.55,44717.14,1211213.09
60963.85,4.84,6.1,4.31,34380.12,894486.27
82566.57,5.11,7.57,3.33,52673.55,1643147.43
65223.87,6.39,7.41,2.77,51277.74,1719227.02
47964.77,6.2,8.29,5.54,37648.24,942095.06
55068.51,7.03,6.98,6.65,41775.7,1037796.87
39276.95,6.73,6.57,6.37,30322.56,762802.67
66087.69,7.04,7.79,4.78,33461.61,1375228.48
66575.2,6.58,6.19,3.65,25463.77,1073640.75
64059.08,6.19,8.09,3.89,31415.51,1162674.0
80081.69,7.07,8.08,4.48,35126.94,2048662.0
81356.82,6.89,8.26,3.46,19683.86,1776903.59
66767.0,6.35,7.37,5.6,41887.88,1581817.32
45831.43,7.24,6.5,1.48,46307.62,1081702.78
75161.99,3.66,7.1,3.62,36084.42,1137668.35
74502.03,5.69,7.37,4.97,9392.87,984845.87
71880.5,5.68,6.42,2.94,33652.05,1291344.24
79043.61,7.12,8.34,3.68,22333.64,1591975.78
56168.26,7.54,7.58,4.71,30112.53,1395683.67
89992.31,4.54,6.09,5.85,50573.47,1560192.09
58357.42,7.38,8.89,2.39,12000.85,1102964.35
76568.22,4.82,7.09,2.3,28060.6,1087132.58
50599.25,4.85,5.88,2.82,44396.48,702393.42
58668.24,5.75,6.15,2.09,29196.38,764712.12
84744.46,5.66,8.49,2.18,28437.08,1673576.58
65802.33,4.44,8.83,2.78,56334.63,1435246.86
77534.9,6.62,8.01,5.5,39918.49,1829986.15
71108.47,6.65,8.32,3.6,45435.95,1886658.63
67464.36,7.02,8.22,4.02,41072.6,1647133.87
83118.92,5.55,7.55,2.8,37767.85,1821720.17
66060.69,5.94,7.32,4.76,48708.45,1552942.18
49603.89,5.95,7.54,6.29,55073.57,1428225.31
60022.07,7.65,7.73,2.89,19454.09,1185532.09
74457.6,3.17,6.24,6.1,35812.48,676248.05
72798.34,5.03,7.73,4.43,35734.25,1217104.21
51881.29,5.99,8.46,4.0,31902.42,964083.2
60862.96,4.91,6.78,4.47,45900.03,953929.43
62383.01,5.72,6.67,4.46,38712.61,874187.59
64687.83,5.86,7.47,6.26,55273.32,1620818.36
53918.51,5.33,6.33,4.62,47083.14,747126.86
61885.82,6.04,5.66,4.65,49707.67,1272312.37
60817.47,6.6,8.15,3.46,24261.3,1380464.42
76806.0,5.75,6.53,5.01,28162.6,1153670.91
77206.61,5.53,7.01,2.8,28980.36,1308401.01
67028.95,5.82,6.37,4.11,49294.95,1292234.53
64404.64,5.97,8.28,7.53,26563.78,1279607.2
70074.31,4.26,7.85,1.0,26854.0,853907.56
59879.94,6.44,6.75,4.27,25033.55,944190.47
